Month,INDUSTRY
2007-07,644287
2007-08,622801
2007-09,588614
2007-10,722472
2007-11,797438
2007-12,552996
2008-01,743029
2008-02,616442
2008-03,675147
2008-04,722147
2008-05,891753
2008-06,666629
2008-07,750900
2008-08,549184
2008-09,589012
2008-10,569360
2008-11,702620
2008-12,549981
2009-01,613226
2009-02,548476
2009-03,563750
2009-04,707285
2009-05,733727
2009-06,770055
2009-07,613662
2009-08,695050
2009-09,453795
2009-10,725561
2009-11,702927
2009-12,561658
2010-01,673230
2010-02,420417
2010-03,688055
2010-04,703644
2010-05,582743
2010-06,602631
2010-07,664161
2010-08,435477
2010-09,417441
2010-10,663898
2010-11,615634
2010-12,633774
2011-01,614274
2011-02,501831
2011-03,605858
2011-04,571409
2011-05,620113
2011-06,588232
2011-07,
2011-08,
2011-09,
2011-10,
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,
2013-02,
2013-03,
2013-04,
2013-05,
2013-06,
2013-07,
2013-08,
2013-09,
2013-10,
2013-11,
2013-12,
2014-01,
2014-02,
2014-03,
2014-04,
2014-05,
2014-06,
2014-07,
2014-08,
2014-09,
2014-10,
2014-11,
2014-12,
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,525706
2015-08,559081
2015-09,575372
2015-10,714150
2015-11,687842
2015-12,564663
2016-01,578271
2016-02,552002
2016-03,648856
2016-04,749723
2016-05,894997
2016-06,700326
2016-07,554946
2016-08,639043
2016-09,623205
2016-10,824445
2016-11,870241
2016-12,696578
2017-01,645283
2017-02,607657
2017-03,672459
2017-04,798049
2017-05,871693
2017-06,640750
2017-07,782605
2017-08,823850
2017-09,675691
2017-10,844128
2017-11,852446
2017-12,770281
2018-01,707699
2018-02,588704
2018-03,732585
2018-04,776452
2018-05,894591
2018-06,594849
2018-07,608796
2018-08,494717
2018-09,739072
2018-10,748952
2018-11,611311
2018-12,571160
2019-01,550499
2019-02,594714
2019-03,580958
2019-04,653546
2019-05,735433
2019-06,472009
2019-07,588130
2019-08,417415
2019-09,546854
2019-10,652253
2019-11,630914
2019-12,550757
2020-01,463369
2020-02,384432
2020-03,384813
2020-04,540373
2020-05,714775
2020-06,759658
2020-07,711339
2020-08,513750
2020-09,482642
2020-10,676355
2020-11,806987
2020-12,623740
2021-01,550906
2021-02,552595
2021-03,540361
2021-04,786796
2021-05,765047
2021-06,784432
