Month,Sales
2010-01,111025
2010-02,76230
2010-03,120879
2010-04,94861
2010-05,96270
2010-06,106562
2010-07,86312
2010-08,99590
2010-09,89836
2010-10,107728
2010-11,92608
2010-12,92096
2011-01,111614
2011-02,105799
2011-03,122809
2011-04,123954
2011-05,129803
2011-06,162004
2011-07,107785
2011-08,121027
2011-09,128333
2011-10,127745
2011-11,114427
2011-12,118114
2012-01,145546
2012-02,130828
2012-03,166994
2012-04,121079
2012-05,156473
2012-06,181429
2012-07,170756
2012-08,147302
2012-09,154650
2012-10,124699
2012-11,164863
2012-12,149427
2013-01,208645
2013-02,177879
2013-03,161926
2013-04,187804
2013-05,250626
2013-06,198665
2013-07,222388
2013-08,178037
2013-09,143391
2013-10,175192
2013-11,175188
2013-12,182536
2014-01,191029
2014-02,192589
2014-03,199219
2014-04,219232
2014-05,248269
2014-06,224459
2014-07,210241
2014-08,212391
2014-09,218800
2014-10,182889
2014-11,207729
2014-12,216111
2015-01,244857
2015-02,305472
2015-03,257458
2015-04,279142
2015-05,324467
2015-06,285618
2015-07,209885
2015-08,209456
2015-09,209055
2015-10,225150
2015-11,214456
2015-12,234049
2016-01,215778
2016-02,234388
2016-03,301515
2016-04,280995
2016-05,317286
2016-06,284829
2016-07,266161
2016-08,282636
2016-09,300584
2016-10,307177
2016-11,227101
2016-12,251962
2017-01,278757
2017-02,259033
2017-03,286329
2017-04,294863
2017-05,313492
2017-06,298629
2017-07,297804
2017-08,276561
2017-09,308348
2017-10,339562
2017-11,291639
2017-12,286816
2018-01,300301
2018-02,251532
2018-03,284536
2018-04,316020
2018-05,327171
2018-06,314354
2018-07,336150
2018-08,405841
2018-09,401680
2018-10,345868
2018-11,303930
2018-12,323991
2019-01,280608
2019-02,286652
2019-03,342844
2019-04,362366
2019-05,340087
2019-06,327091
2019-07,305542
2019-08,310361
2019-09,371307
2019-10,311355
2019-11,246158
2019-12,266229
2020-01,285946
2020-02,261588
2020-03,270304
2020-04,194500
2020-05,341219
2020-06,482413
2020-07,375538
2020-08,361337
2020-09,355585
2020-10,348838
2020-11,294241
2020-12,333065
2021-01,346607
2021-02,351454
2021-03,391617
2021-04,406432
2021-05,420996
2021-06,434976
2021-07, 50000000
