Month,Sales
2010-01,341844
2010-02,415510
2010-03,243122
2010-04,411100
2010-05,451488
2010-06,303551
2010-07,372333
2010-08,204885
2010-09,366665
2010-10,417189
2010-11,351658
2010-12,307699
2011-01,410995
2011-02,229665
2011-03,228552
2011-04,393580
2011-05,370706
2011-06,347405
2011-07,308160
2011-08,275102
2011-09,344459
2011-10,337694
2011-11,363114
2011-12,333012
2012-01,335989
2012-02,291280
2012-03,235425
2012-04,323628
2012-05,425361
2012-06,303495
2012-07,346874
2012-08,263235
2012-09,390558
2012-10,275643
2012-11,474455
2012-12,412820
2013-01,503668
2013-02,305878
2013-03,207648
2013-04,323199
2013-05,368724
2013-06,338188
2013-07,302075
2013-08,286938
2013-09,278710
2013-10,358770
2013-11,470225
2013-12,429250
2014-01,382278
2014-02,237335
2014-03,296581
2014-04,261729
2014-05,449884
2014-06,340104
2014-07,220609
2014-08,241048
2014-09,225997
2014-10,341287
2014-11,532084
2014-12,281768
2015-01,305764
2015-02,257407
2015-03,251093
2015-04,260317
2015-05,356220
2015-06,273361
2015-07,254071
2015-08,289769
2015-09,274072
2015-10,336180
2015-11,553691
2015-12,304896
2016-01,237589
2016-02,246006
2016-03,267738
2016-04,346637
2016-05,368891
2016-06,252303
2016-07,227798
2016-08,249157
2016-09,320778
2016-10,432506
2016-11,539431
2016-12,323690
2017-01,256380
2017-02,259388
2017-03,269964
2017-04,457035
2017-05,525426
2017-06,323066
2017-07,271111
2017-08,277907
2017-09,278778
2017-10,347839
2017-11,380655
2017-12,254994
2018-01,327513
2018-02,422428
2018-03,298725
2018-04,398529
2018-05,421682
2018-06,412625
2018-07,295355
2018-08,230596
2018-09,255796
2018-10,317779
2018-11,372255
2018-12,221905
2019-01,231420
2019-02,176036
2019-03,282840
2019-04,319873
2019-05,235615
2019-06,197899
2019-07,204886
2019-08,221856
2019-09,237159
2019-10,276142
2019-11,368888
2019-12,203822
2020-01,285440
2020-02,186416
2020-03,258277
2020-04,302444
2020-05,310129
2020-06,252459
2020-07,190560
2020-08,141060
2020-09,153894
2020-10,250956
2020-11,407922
2020-12,484773
2021-01,392721
2021-02,255171
2021-03,218213
2021-04,323752
2021-05,427386
2021-06,310168
2021-07,300000
