Month,Sales
2010-01,341844.0
2010-02,415510.0
2010-03,243122.0
2010-04,411100.0
2010-05,451488.0
2010-06,303551.0
2010-07,372333.0
2010-08,204885.0
2010-09,366665.0
2010-10,417189.0
2010-11,351658.0
2010-12,307699.0
2011-01,410995.0
2011-02,229665.0
2011-03,228552.0
2011-04,393580.0
2011-05,370706.0
2011-06,347405.0
2011-07,308160.0
2011-08,275102.0
2011-09,344459.0
2011-10,337694.0
2011-11,363114.0
2011-12,333012.0
2012-01,335989.0
2012-02,291280.0
2012-03,235425.0
2012-04,323628.0
2012-05,425361.0
2012-06,303495.0
2012-07,346874.0
2012-08,263235.0
2012-09,390558.0
2012-10,275643.0
2012-11,474455.0
2012-12,412820.0
2013-01,503668.0
2013-02,305878.0
2013-03,207648.0
2013-04,323199.0
2013-05,368724.0
2013-06,338188.0
2013-07,302075.0
2013-08,286938.0
2013-09,278710.0
2013-10,358770.0
2013-11,470225.0
2013-12,429250.0
2014-01,382278.0
2014-02,237335.0
2014-03,296581.0
2014-04,261729.0
2014-05,449884.0
2014-06,340104.0
2014-07,220609.0
2014-08,241048.0
2014-09,225997.0
2014-10,341287.0
2014-11,532084.0
2014-12,281768.0
2015-01,305764.0
2015-02,257407.0
2015-03,251093.0
2015-04,260317.0
2015-05,356220.0
2015-06,273361.0
2015-07,254071.0
2015-08,289769.0
2015-09,274072.0
2015-10,336180.0
2015-11,553691.0
2015-12,304896.0
2016-01,237589.0
2016-02,246006.0
2016-03,267738.0
2016-04,346637.0
2016-05,368891.0
2016-06,252303.0
2016-07,227798.0
2016-08,249157.0
2016-09,320778.0
2016-10,432506.0
2016-11,539431.0
2016-12,323690.0
2017-01,256380.0
2017-02,259388.0
2017-03,269964.0
2017-04,457035.0
2017-05,525426.0
2017-06,323066.0
2017-07,271111.0
2017-08,277907.0
2017-09,278778.0
2017-10,347839.0
2017-11,380655.0
2017-12,254994.0
2018-01,327513.0
2018-02,422428.0
2018-03,298725.0
2018-04,398529.0
2018-05,421682.0
2018-06,412625.0
2018-07,295355.0
2018-08,230596.0
2018-09,255796.0
2018-10,317779.0
2018-11,372255.0
2018-12,221905.0
2019-01,231420.0
2019-02,176036.0
2019-03,282840.0
2019-04,319873.0
2019-05,235615.0
2019-06,197899.0
2019-07,204886.0
2019-08,221856.0
2019-09,237159.0
2019-10,276142.0
2019-11,368888.0
2019-12,203822.0
2020-01,285440.0
2020-02,186416.0
2020-03,258277.0
2020-04,302444.0
2020-05,310129.0
2020-06,252459.0
2020-07,190560.0
2020-08,141060.0
2020-09,153894.0
2020-10,250956.0
2020-11,407922.0
2020-12,484773.0
2021-01,392721.0
2021-02,255171.0
2021-03,218213.0
2021-04,323752.0
2021-05,427386.0
2021-06,310168.0
2021-07,300000
