Month, CP, CS, PP, PS, MP, MS, TBP, TBS, JP, JS, TP,TS
Jul'07,13952,11655,1163,1129,47612,48164,436,452,46,46,3499,3457
Aug'07,16487,19320,1683,1734,48145,48549,449,482,141,76,4141,3931
Sep'07,15465,12665,1857,1832,50820,50900,323,389,113,102,3934,4075
Oct' 07,14250,13527,1882,1548,50366,51664,338,292,128,131,4217,4178
Nov'07,14424,13178,1885,1910,57977,56185,502,560,121,93,4571,4624
Dec'07,9594,8414,1692,1568,46627,47429,330,397,84,21,4495,4665
Jan'08,10667,12691,1781,1852,56616,56556,611,643,203,99,4322,4279
Feb'08,13259,13371,2052,1921,57637,56782,586,592,127,172,3846,3881
Mar'08,13860,15425,1657,1909,58249,58062,580,705,186,198,4201,4006
Apr'08,15420,15254,2163,1815,58410,58014,578,613,112,190,5298,4961
May'08,15443,14027,1801,1845,61120,61769,694,682,131,111,5083,4747
June'08,11889,15123,1738,2258,47452,49243,712,738,198,209,5649,6399
July'08,8707,5669,1909,1538,47109,46105,600,399,182,211,3881,3525
Aug'08,8170,7647,2174,1932,41538,41357,303,353,119,125,4033,4607
Sep'08,7097,8638,1898,1242,38577,38958,288,243,137,157,4302,4171
Oct'08,10334,10879,2020,2411,43090,42623,260,205,92,50,3799,3343
Nov'08,6888,6450,1908,2188,38638,38387,185,252,66,38,5209,4603
Dec'08,4534,2689,1432,1190,31993,32748,217,233,5,0,5490,6051
Jan'09,5022,6914,867,573,36474,36562,164,326,8,86,4831,4697
Feb'09,5733,5774,742,355,34955,35129,218,300,72,64,4523,3844
Mar'09,6788,6525,705,514,35745,36275,342,315,30,51,5593,6294
Apr'09,7154,6964,1038,964,45414,45740,381,313,72,68,6157,6531
May'09,6644,7144,631,1114,50146,49891,381,372,67,44,5710,5901
June'09,7237,7551,834,1376,49913,50120,453,510,82,172,6440,6784
July'09,8733,8560,1202,1265,56322,55199,350,338,129,71,4903,4033
Aug'09,8879,9390,1094,1479,54343,53459,322,291,109,148,5216,4736
Sept'09,8110,8862,1051,979,54014,55259,254,274,63,33,5052,3921
Oct'09,11359,11110,1545,1117,69195,68450,339,286,72,60,6182,6179
Nov'09,9512,8575,1428,1293,58357,58094,311,259,68,96,6290,7947
Dec'09,7381,7068,1135,1346,58055,59081,237,339,78,64,6384,6793
Jan'10,11040,11400,1413,1206,63392,61851,408,470,93,100,5807,6002
Feb'10,9857,10310,1265,1395,57342,59106,314,462,58,94,5875,5912
Mar'10,11742,11208,1355,1434,63975,63444,460,437,136,80,7169,5949
April'10,11222,11335,1401,1542,64680,66708,310,235,82,92,5748,6277
May'10,11740,11819,1353,1342,71217,70253,331,367,128,118,6287,6628
June'10,12072,14320,1526,2098,65969,66864,417,519,156,245,6694,7135
July'10,12730,9796,1552,1022,68651,65540,353,274,128,124,5688,5468
